tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
3-1-1,regular,31,473669,20529.163769933017,8.977438015905342,2.032098904927648,0.6691735818969553,0.3841377128872759
3-1-1,regular,32,513919,22689.556493155003,8.94787334455259,1.9309047909719972,0.6358501902360546,0.38670029909617387
3-1-1,regular,33,573810,25532.09875861236,8.905738554846518,2.0984980526431807,0.6910389327437884,0.35539301988400995
3-1-1,regular,34,636548,28194.628244861546,8.857044816111479,2.110955770326222,0.6951412800970628,0.33781969476295975
3-1-1,regular,35,690361,30276.46756744812,8.862762422644348,1.7566405131038048,0.5784646708920065,0.4266702872672756
3-1-2,regular,38,661450,26455.954745580286,9.247074188156404,0.5340687318341306,0.17587033062490312,0.040745515642889724
3-1-2,regular,39,531305,22395.875039907827,9.276662281458483,0.29101377464350087,0.09583165183100269,0.05098125550383696
3-1-2,regular,40,497659,21554.970988233064,9.278778638365178,0.5882065856084093,0.19369807764522884,0.08096614542942147
3-1-2,regular,41,440990,19405.506455976963,9.377016649212573,0.22055204361997482,0.07262840626941976,0.0332782525219143
3-1-2,regular,42,422677,18372.090490229686,9.30387750838065,0.9421595816925148,0.3102557915432221,0.05717772079948102
3-1-2,regular,43,365329,15632.471261221475,9.24195026529861,0.07894636379988818,0.02599725892103409,0.0741909913918981
3-1-2,regular,44,299031,12745.68183778142,8.979276001094886,0.08653593257759162,0.02849652519646491,0.8276989957030497
3-1-2,regular,45,268051,11605.394902008566,8.992630848008687,0.15148980748539032,0.049886018298171186,0.8523465110544917
3-1-2,regular,46,243555,10755.762159815073,8.994681886058125,0.04217161729988028,0.013887231802629284,0.5838139373462492
3-1-2,regular,47,202356,8524.794205605396,8.98276494829901,0.07735037101322284,0.025471694022108374,0.5344999939780077
3-1-3,regular,79,190444,7387.279610792462,9.452928767739309,1.3209145069621915,0.43892813771684985,0.028325574270548198
3-1-3,regular,80,177772,7367.056387509624,9.374139510608446,1.2934253472327057,0.4297937345258267,0.042096350491739216
3-1-3,regular,81,174841,7516.0829680288925,9.306271078915293,1.728864512809162,0.5744862948906918,0.08573567391548452
3-1-3,regular,82,168740,7398.349385059905,9.243546911511,2.932819765866519,0.9745499131896542,0.19594757891618395
3-1-3,regular,83,184553,7931.340040188743,9.230013037763843,1.8629885590390103,0.6190545220730139,0.12001426392819478
3-1-3,regular,84,179921,7637.70877599955,9.170664269866723,1.385461964740795,0.4603766836203058,0.09684075413365721
3-1-3,regular,85,205840,8782.876696969171,9.13751085688304,0.2741122309534294,0.09108505540945172,0.08522653148703804
3-1-3,regular,86,252413,10748.065324115692,9.11605225602923,0.18527719443803825,0.06156596319251306,0.19200039799014976
3-1-3,regular,87,281707,11859.389780345313,8.933555487471162,0.038088559466388006,0.01265648941455505,0.826976994110943
3-1-3,regular,88,290023,11980.107660066777,8.936464086061134,0.11085892482303628,0.03683743434219119,0.6790738468451342
4-1,complex,110,14730,300.5905430397984,16.672812935179017,5.979579116992372,1.7767470645704877,0.0006374647117748838
4-1,complex,111,23001,511.7983641815595,19.091151608755492,1.046695931268495,0.31101083989245315,0.717517368088649
4-1,complex,112,40320,893.8677859423284,5.843783933136811,4.052190247628365,1.2040508180743317,0.0
4-1,complex,113,77357,1656.1473017343487,,,,0.0
4-1,complex,114,172805,3700.895630870491,1.8128825175760883,0.15919787862988244,0.047303390089395346,0.7097235422951361
4-1,complex,115,438526,9326.80391253769,19.47034325882605,10.523696247925265,3.126966973946056,0.16544194481335914
4-1,complex,116,579860,12961.984973906632,16.71705998681363,10.895317395323284,3.237388923359756,0.22628706412740565
4-1,complex,117,331944,7235.639475325878,10.702496568006946,4.8664250180465345,1.4459891234143514,0.09198350663619767
4-1,complex,118,132083,2582.830122340967,4.408793038788427,1.8445941123389122,0.5480949595781304,0.095750175612578
4-1,complex,119,61911,1065.612287960858,17.684352623564855,8.168070884197967,2.4270263312448646,0.042944254638238984
4-2,complex,140,22123,499.8690129168413,19.11932098482471,0.3468109712644676,0.10304231807807746,0.0434412265758092
4-2,complex,141,37287,850.8911189387937,16.677011074362753,0.1143157748528516,0.03396479180223753,0.07345546608530538
4-2,complex,142,72595,1673.274309903484,6.905284591960702,0.051442800579437176,0.015284364853876705,0.13265248653012185
4-2,complex,143,154150,3518.510269664745,4.056015259127005,0.058861805000484324,0.017488653289703726,0.18801141597875762
4-2,complex,144,406941,9353.017238198447,17.85801332368061,0.0004814500713905545,0.00014304544984278405,0.033579091059027476
4-2,complex,145,649243,15036.801330645763,4.104984644931239,0.1630874178654338,0.04845551893860776,0.1990167511281
4-2,complex,146,363072,8328.074019401289,17.862785785874145,0.1131207737752149,0.03360974051681672,0.03884174845470457
4-2,complex,147,139006,3161.7054378209587,8.03472091893375,0.1574623661266692,0.046784238562562724,0.12174331808331326
4-2,complex,148,64676,1424.8659628283613,14.213492000240082,0.15537204107081592,0.04616317418704285,0.08858588638817726
4-2,complex,149,34982,741.8635224533667,20.317329075285823,0.39288254198025996,0.1167308165322776,0.33356985472607087
4-3,complex,170,22464,482.1563773570995,3.174735336249148,4.258825714572369,1.2652671154650756,0.00041113590978503466
4-3,complex,171,38867,840.0532371710884,20.36494130111999,7.407395925915214,2.2006851429071865,0.007209585702680747
4-3,complex,172,74309,1631.93231823996,6.963863656055464,0.845671106863005,0.25124292791590586,0.23274377556145512
4-3,complex,173,164599,3701.0528268757002,16.759420220626925,9.085885447841768,2.6993525545553316,0.0
4-3,complex,174,429351,9653.913522993376,,,,0.0
4-3,complex,175,648492,14905.539131569116,9.424391904983416,0.03277827040506054,0.009738193207446047,0.5462333599732019
4-3,complex,176,353514,8034.345042803709,19.22870871521272,1.3544898173531763,0.40240938206633164,0.5389723366003596
4-3,complex,177,128460,2896.217233619608,9.381347599538849,0.018224439035110507,0.005414352442276155,0.4834913334924182
4-3,complex,178,60580,1348.1159937126608,6.98658054683524,1.1894658503928568,0.35338192411142144,0.41659589119706186
4-3,complex,179,34026,733.6484714866173,20.508899985236617,0.6355234124592073,0.18880952844381035,0.30975078014790747
4-4,complex,210,17860,304.63961467665547,9.458675704050126,,,0.0
4-4,complex,211,29486,534.3606174587063,19.204814539350746,,,0.5434403895117702
4-4,complex,212,53888,1039.460141744688,16.708482976178953,,,0.12323847735096713
4-4,complex,213,109064,2276.0911981616464,6.919678437884462,,,0.4666247232338387
4-4,complex,214,269369,5899.5601054829385,4.235778717500972,,,0.3567014748627409
4-4,complex,215,627874,14043.701146086752,13.975885646069417,,,0.5008578500688166
4-4,complex,216,503637,10787.63185203888,4.210243104790617,,,0.059928433051133635
4-4,complex,217,204377,4116.152262926191,17.964491579158704,,,0.42588807926454975
4-4,complex,218,90818,1689.6949461508357,15.428153391114002,,,0.4589326933365945
4-4,complex,219,45028,789.8050773605139,9.337195477939844,,,0.4498832378006248
